3-a	cont_a	3-b	cont_b	3-c	cont_c	3-d	cont_d	3-e	cont_e	3-f	cont_f	3-g	cont_g	3-h	cont_h	3-i	cont_i
なみ	0.025168592	こヒ	0.041785618	きみ	0.054144177	やま	0.060352405	おも	0.05100949	かも	0.054995424	なく	0.034765702	わが	0.036809485	ひト	0.046553385
みノ	0.022171393	あら	0.035441569	たま	0.031833993	れば	0.027883587	コロ	0.03773187	るか	0.022448574	なし	0.022624291	ノは	0.023797975	トも	0.031372096
ノう	0.021619277	もノ	0.034048973	まつ	0.019519411	しか	0.020281132	いも	0.036716523	かは	0.019981697	いま	0.020878467	ゆき	0.021642222	コト	0.021045737
わた	0.020988287	くも	0.025770763	まノ	0.016880573	まに	0.01735102	あが	0.026484946	おほ	0.018151434	はな	0.020005555	あき	0.021411248	あれ	0.019812738
あま	0.018779824	つつ	0.020896677	みが	0.016800608	あさ	0.015371214	ココ	0.024063733	ゆく	0.013535989	トき	0.019926199	はな	0.020102398	あは	0.019581551
まノ	0.017596719	まく	0.019890913	つキ	0.016160889	はる	0.015212829	もが	0.021095794	はノ	0.012660645	くに	0.019608777	にけ	0.018331601	トノ	0.018656803
しま	0.016729108	まし	0.018498317	かた	0.015601136	をし	0.01489606	もふ	0.015940954	ヨし	0.012501492	たち	0.019053287	さき	0.016791777	にあ	0.016499056
たる	0.01633474	にし	0.018420951	たか	0.012962297	あし	0.014420907	コノ	0.015550435	がは	0.012262762	なき	0.015879062	きて	0.016483813	には	0.016267869
うら	0.015624877	ノを	0.017105721	なが	0.012962297	キノ	0.014341715	もひ	0.015472332	みや	0.012024032	なか	0.014450661	ける	0.015867883	われ	0.015805495
しら	0.015546003	かく	0.016022591	また	0.012002719	ノや	0.012837062	もト	0.013754052	しの	0.011387419	かな	0.013180971	きノ	0.014866998	あり	0.014264247
おき	0.013495287	しく	0.015403659	むか	0.01168286	かす	0.011174025	もは	0.01328543	ノか	0.011307842	かり	0.013180971	きは	0.014405051	コソ	0.012800062
する	0.012154435	しも	0.014475262	みを	0.011283035	しひ	0.010461295	ドも	0.013207326	みれ	0.011307842	なに	0.013180971	きに	0.014251068	メや	0.012337687
たり	0.01183894	あひ	0.013778964	まさ	0.010803247	まか	0.010144526	ロも	0.011645253	あか	0.010909959	なノ	0.012942904	けり	0.014020095	ゴト	0.011412939
らに	0.010655835	くら	0.013701598	つか	0.010723282	ゆふ	0.010065334	もほ	0.010395595	はや	0.010830382	トト	0.012863548	さか	0.011017439	やも	0.011027627
ふね	0.010576961	くし	0.013624231	かへ	0.009923634	もり	0.00959018	ふる	0.010239388	れド	0.010193769	ほト	0.01246677	わぎ	0.010940447	はむ	0.010025816
らな	0.010576961	らむ	0.012927933	たノ	0.009683739	すみ	0.009510988	わす	0.010005077	はし	0.010034616	もな	0.011514502	かぜ	0.010786465	れは	0.010025816
きつ	0.010182593	らず	0.012386368	しき	0.009603774	しも	0.009352603	がも	0.009848869	すら	0.009875463	なり	0.011276435	ふり	0.0104785	トい	0.009563442
たつ	0.009157235	くさ	0.011767436	みむ	0.008964056	すが	0.009352603	すれ	0.009380248	しき	0.009557156	かに	0.01119708	メノ	0.010324518	もあ	0.009486379
ほし	0.008526245	ノミ	0.01037484	がた	0.008724161	かノ	0.009194219	メに	0.00922404	つる	0.009159273	トり	0.010720946	はギ	0.010170535	いは	0.009332254
ねノ	0.008368498	いへ	0.010065375	かみ	0.008564232	つま	0.008481489	ゆる	0.009145937	なら	0.009159273	ぎす	0.010403523	もみ	0.010016553	トは	0.008946943
みた	0.008368498	しな	0.009678542	がく	0.008084443	なび	0.008481489	にし	0.009067833	ぬか	0.008920543	トぎ	0.010403523	きか	0.00978558	ノし	0.00886988
まも	0.007737508	して	0.009369077	つも	0.007844548	らむ	0.008402297	ノコ	0.008755418	みか	0.008681813	なむ	0.010403523	がせ	0.009708588	しゲ	0.008638693
ソノ	0.007579761	しら	0.009059611	でに	0.007844548	かむ	0.00816472	こふ	0.008677315	みつ	0.008602236	りノ	0.010244812	ぎも	0.009554606	はず	0.008407506
みゆ	0.007422014	たび	0.008982244	つく	0.007764584	まは	0.007927143	にみ	0.008521108	ノみ	0.008522659	しに	0.00992739	みち	0.009477615	だに	0.008330443
はま	0.00734314	にも	0.008440679	みに	0.007764584	たな	0.007531182	もヘ	0.008443004	みな	0.008443083	ばな	0.009848034	こが	0.009323632	トに	0.008176319
