sound	cont
あエ	2.35224E-05
あか	7.82198E-06
あが	7.82198E-06
あキ	7.82198E-06
あき	2.32345E-05
あく	7.82198E-06
あケ	0.000228947
あけ	7.82198E-06
あゲ	6.94719E-05
あご	2.35224E-05
あさ	7.82198E-06
あざ	7.82198E-06
あし	5.44982E-05
あじ	7.82198E-06
あす	7.05302E-05
あず	2.3499E-05
あせ	8.53232E-05
あぜ	0.000100902
あソ	7.82198E-06
あそ	2.36931E-05
あた	2.36931E-05
あだ	5.45181E-05
あぢ	0.000225538
あつ	5.49233E-05
あづ	2.35224E-05
あて	7.82198E-06
あト	7.04587E-05
あと	7.82198E-06
あド	7.82198E-06
あど	8.62072E-05
あな	3.91056E-05
あに	0.000100755
あノ	2.3499E-05
あの	7.82198E-06
あは	0.008267025
あば	2.33807E-05
あひ	7.82198E-06
あび	7.82198E-06
あふ	0.001866215
あぶ	0.0001173
あヘ	2.36931E-05
あへ	2.35224E-05
あベ	7.82198E-06
あほ	7.82198E-06
あま	5.49233E-05
あみ	0.000116733
あむ	7.05536E-05
あメ	2.36931E-05
あも	5.54354E-05
あや	0.000150321
あゆ	7.82198E-06
あよ	7.82198E-06
あら	7.82198E-06
あり	0.012597096
ある	0.000720892
あれ	0.011830047
あろ	5.4324E-05
あわ	7.11124E-05
あゐ	2.33807E-05
あを	0.001295969
いか	2.32345E-05
いき	8.70069E-05
いく	7.82198E-06
いケ	0.00011892
いけ	0.000735691
いコ	7.82198E-06
いこ	5.46399E-05
いさ	7.82198E-06
いざ	7.82198E-06
いし	7.82198E-06
いせ	0.000103049
いソ	7.82198E-06
いそ	0.000100585
いた	0.000117085
いだ	7.82198E-06
いち	0.000629877
いつ	7.82198E-06
いづ	7.82198E-06
いて	2.32345E-05
いで	0.001998808
いト	0.000213782
いと	0.000211335
いな	0.000337529
いに	0.002512022
いぬ	2.35224E-05
いね	0.000372858
いノ	0.00070782
いの	7.82198E-06
いは	0.009823929
いば	7.82198E-06
いひ	0.00313374
いび	7.82198E-06
いふ	0.006578695
いぶ	7.82198E-06
いヘ	0.002745517
いへ	7.82198E-06
いほ	0.000146534
いま	0.002598799
いみ	2.33807E-05
いむ	7.05302E-05
いメ	0.001248156
いも	0.001594669
いや	0.000196227
いゆ	7.82198E-06
いヨ	5.48765E-05
いら	6.94719E-05
いり	0.000770506
いる	0.000147328
いロ	0.000383688
いわ	7.82198E-06
いを	3.89115E-05
うう	2.36931E-05
うか	3.89395E-05
うき	3.86469E-05
うぐ	7.82198E-06
うケ	7.82198E-06
うけ	7.82198E-06
うご	3.92229E-05
うさ	2.35224E-05
うし	0.000102025
うす	0.000132292
うず	7.82198E-06
うせ	0.000149544
うた	0.00013285
うだ	3.86469E-05
うち	7.82198E-06
うぢ	0.000196227
うつ	0.006970694
うづ	0.000180386
うて	7.82198E-06
うト	7.82198E-06
うな	7.82198E-06
うに	3.92229E-05
うぬ	2.32345E-05
うね	7.82198E-06
うノ	7.82198E-06
うは	7.82198E-06
うば	2.35224E-05
うヘ	2.3499E-05
うへ	3.92229E-05
うベ	3.89115E-05
うま	2.33807E-05
うみ	0.000165596
うむ	7.82198E-06
うメ	7.82198E-06
うも	7.82198E-06
うや	7.82198E-06
うら	3.92229E-05
うる	3.91056E-05
うれ	7.82198E-06
うゑ	8.64066E-05
うを	7.82198E-06
エい	2.33807E-05
えい	3.89115E-05
エう	7.82198E-06
エか	2.33807E-05
えか	7.82198E-06
エが	7.82198E-06
えが	7.82198E-06
エき	3.92229E-05
エく	2.35224E-05
エけ	5.48531E-05
エコ	0.000601559
エこ	3.91761E-05
エざ	2.32345E-05
エし	0.000351122
えし	5.49523E-05
エじ	8.63242E-05
エす	8.58017E-05
えす	3.90812E-05
エず	0.000931031
えず	7.82198E-06
エせ	7.82198E-06
えせ	7.82198E-06
エソ	0.000149355
エた	0.000100826
えた	2.3499E-05
エだ	3.93702E-05
エつ	0.000290288
えつ	7.82198E-06
エて	7.82198E-06
えて	7.82198E-06
エト	3.91761E-05
エと	7.82198E-06
エな	7.82198E-06
えな	7.82198E-06
エに	0.000274332
エぬ	0.000196227
えぬ	3.91995E-05
エね	7.82198E-06
えね	3.93935E-05
エノ	7.82198E-06
エの	2.35224E-05
えノ	2.36931E-05
エは	0.000101789
エば	2.3499E-05
エび	7.82198E-06
エま	2.3499E-05
エみ	3.89115E-05
エむ	8.62072E-05
えむ	2.32345E-05
エメ	0.000243615
エも	7.82198E-06
えも	2.3499E-05
エゆ	7.82198E-06
えゆ	2.3499E-05
エヨ	2.36931E-05
エよ	7.82198E-06
えら	2.35224E-05
えり	7.82198E-06
エを	5.44982E-05
えを	5.49289E-05
おい	0.000227831
おう	2.32345E-05
おか	0.000194381
おキ	7.13065E-05
